"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"S6"	"S6"	"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY"	"GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY"	"42/925"	"462/17939"	0.000267168357308271	0.00686390731476875	0.00548262565699795	"SOD2/HIF1A/COL6A1/PKM/PGAM1/PFKL/IL6ST/PGK1/VCP/APP/ACO1/DNAJC15/GYS1/IDH2/PFKP/SLC2A6/IRS1/PLEC/MT-ATP8/ACOX1/STAT3/CAT/MYBBP1A/HK1/GNPDA1/DLST/MT-ATP6/PPP1R3C/STBD1/ALDOC/NIPSNAP2/CYB561/DLAT/FOXK1/PID1/EPM2AIP1/EP300/ENO2/PRKAG2/GPD2/CROT/DDIT4"	42
"S6"	"S6"	"GOBP_STEROID_METABOLIC_PROCESS"	"GOBP_STEROID_METABOLIC_PROCESS"	"32/925"	"320/17939"	0.000269670426306784	0.00690598303266412	0.00551623412516205	"ACLY/CYP51A1/APP/PDGFRA/LIMA1/CH25H/LRP5/INSIG2/RORA/LSS/HSD17B1/CYB5R2/CAT/OSBP/FDFT1/SQLE/NFKB1/LDLR/DKK3/HMGCS1/SREBF2/PBX1/OSBPL5/OSBPL2/TSKU/LGMN/HMGCR/PRKAG2/STARD4/STAT5B/MSMO1/MVD"	32
"S6"	"S6"	"GOBP_LEUKOCYTE_CELL_CELL_ADHESION"	"GOBP_LEUKOCYTE_CELL_CELL_ADHESION"	"38/925"	"405/17939"	0.000277418766704365	0.00707762364138787	0.00565333405411167	"DPP4/TWSG1/THY1/ITGB1/NFKBIZ/B2M/PRDX2/IL6ST/TGFB1/SOCS1/SLC39A8/ZC3H12A/TNFRSF21/ACTB/SOX4/MSN/KITLG/SMARCC2/PTPN11/SMARCA2/BCL6/CCL2/TFRC/SIRPA/RUNX1/PAWR/ZMIZ1/JAK2/ITGA4/HLX/TNIP1/EP300/ICAM1/FBXO38/MDK/STAT5B/IL6/CXCL12"	38
"S6"	"S6"	"GOBP_ARTERY_DEVELOPMENT"	"GOBP_ARTERY_DEVELOPMENT"	"15/925"	"104/17939"	0.000279947870873897	0.00707762364138787	0.00565333405411167	"COL3A1/SOX4/NAGLU/HAND2/TGFBR1/SLC2A10/SRF/LDLR/ZMIZ1/PRICKLE1/LUZP1/MYLK/SEC24B/MDK/COMP"	15
"S6"	"S6"	"GOBP_PLASMA_MEMBRANE_TUBULATION"	"GOBP_PLASMA_MEMBRANE_TUBULATION"	"6/925"	"19/17939"	0.000280999110623043	0.00707762364138787	0.00565333405411167	"EHD2/PACSIN2/FNBP1L/SNX18/PACSIN3/MICALL1"	6
"S6"	"S6"	"GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS"	"GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS"	"6/925"	"19/17939"	0.000280999110623043	0.00707762364138787	0.00565333405411167	"TGFB1/CCL2/PLCG1/PRKCI/ITGA4/THBS1"	6
"S6"	"S6"	"GOBP_PRIMARY_MIRNA_PROCESSING"	"GOBP_PRIMARY_MIRNA_PROCESSING"	"6/925"	"19/17939"	0.000280999110623043	0.00707762364138787	0.00565333405411167	"TGFB1/STAT3/SMAD3/DGCR8/NCBP1/IL6"	6
"S6"	"S6"	"GOBP_NEURON_PROJECTION_EXTENSION"	"GOBP_NEURON_PROJECTION_EXTENSION"	"20/925"	"163/17939"	0.000282167602057084	0.00707762364138787	0.00565333405411167	"NRP2/NDN/SLIT3/ITGB1/NRN1/AUTS2/MACF1/VCL/CTTN/CYFIP1/SLIT2/PTPRS/SRF/SEMA5A/PRICKLE1/ITGA4/LIMK1/SIN3A/DIP2B/CXCL12"	20
"S6"	"S6"	"GOBP_CARDIAC_VENTRICLE_DEVELOPMENT"	"GOBP_CARDIAC_VENTRICLE_DEVELOPMENT"	"17/925"	"127/17939"	0.000282711556885356	0.00707762364138787	0.00565333405411167	"PTK7/SLIT3/HIF1A/TGFB1/SOX4/TBX3/EGLN1/NAGLU/SLIT2/ZFPM2/HEG1/HAND2/TGFBR1/LMO4/PPP1R13L/LUZP1/TPM1"	17
"S6"	"S6"	"GOBP_GLUCOSE_METABOLIC_PROCESS"	"GOBP_GLUCOSE_METABOLIC_PROCESS"	"22/925"	"188/17939"	0.000283459269742693	0.00707762364138787	0.00565333405411167	"PKM/PGAM1/PFKL/PGK1/SLC39A14/C1QTNF1/PFKP/LRP5/RORA/DDB1/IRS1/HK1/CPT1A/HECTD4/ALDOC/DLAT/FOXK1/PDK1/EPM2AIP1/EP300/NLN/ENO2"	22
