"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"D:r2@ADDG03112640541.R"	0	0.665570387656106	0.919	0.744	0	"1"	"ADDG03112640541.R"	"D"
"P:r1@ATXN10"	0	0.66582575898237	0.914	0.78	0	"1"	"ATXN10"	"P"
"P:r1@MAP1LC3A"	0	0.665979015476276	0.889	0.719	0	"1"	"MAP1LC3A"	"P"
"P:r1@PSME1"	0	0.666015550151667	0.98	0.912	0	"1"	"PSME1"	"P"
"P:r1@PLAUR"	0	0.666640509540296	0.78	0.359	0	"3"	"PLAUR"	"P"
"P:r1@TXNRD1"	0	0.66692964097334	0.975	0.807	0	"3"	"TXNRD1"	"P"
"P:r1@ACLY"	0	0.667201707377474	0.924	0.838	0	"2"	"ACLY"	"P"
"P:r1@RPL10P16"	0	0.66774185307709	0.979	0.855	0	"3"	"RPL10P16"	"P"
"P:r1@TMEM256,r1@TMEM256-PLSCR3"	0	0.668488111737719	0.996	0.963	0	"4"	"TMEM256,r1@TMEM256-PLSCR3"	"P"
"P:r1@ATP5PO"	0	0.669078063032129	0.997	0.984	0	"4"	"ATP5PO"	"P"
"P:r1@PRDX2"	0	0.669081399515199	0.988	0.961	0	"4"	"PRDX2"	"P"
"P:r1@SPTAN1"	0	0.66942933975598	0.893	0.744	0	"1"	"SPTAN1"	"P"
"P:r1@AP000331.1"	0	0.669947899046375	0.914	0.614	0	"2"	"AP000331.1"	"P"
"P:r1@ATP5MC1"	0	0.670796987796062	0.971	0.903	0	"4"	"ATP5MC1"	"P"
"P:r1@UGP2"	0	0.671344372096498	0.828	0.631	0	"1"	"UGP2"	"P"
"P:r1@RAB11B"	0	0.671424266355598	0.919	0.771	0	"1"	"RAB11B"	"P"
"P:r1@LDHB,r1@AC010197.2"	0	0.672200437815493	0.999	0.998	0	"4"	"LDHB,r1@AC010197.2"	"P"
"P:r1@DCXR"	0	0.673425211888272	0.999	0.942	0	"2"	"DCXR"	"P"
"P:r1@TXNDC15"	0	0.673562451345112	0.823	0.638	0	"1"	"TXNDC15"	"P"
"P:r1@SPARC"	0	0.674272190028299	1	0.999	0	"1"	"SPARC"	"P"
"P:r1@TMED9"	0	0.675547889077178	0.974	0.924	0	"1"	"TMED9"	"P"
"P:r1@TIMM13"	0	0.676232077799287	0.99	0.95	0	"4"	"TIMM13"	"P"
"P:r1@RCN2"	0	0.676266257201315	0.994	0.886	0	"3"	"RCN2"	"P"
"P:r1@NFIC"	0	0.677112686459736	0.869	0.684	0	"1"	"NFIC"	"P"
"P:r1@NDUFB9"	0	0.677983038807964	0.995	0.969	0	"4"	"NDUFB9"	"P"
"P:r1@NUCB1"	0	0.67930873955398	0.992	0.939	0	"1"	"NUCB1"	"P"
"P:r1@HSD17B12"	0	0.679857162575591	0.922	0.792	0	"2"	"HSD17B12"	"P"
"P:r1@MT-CYB"	0	0.680966514886934	0.997	0.992	0	"4"	"MT-CYB"	"P"
"P:r1@AGPAT2"	0	0.68122096453629	0.881	0.657	0	"2"	"AGPAT2"	"P"
"P:r1@GLB1,r1@TMPPE"	0	0.682690574745203	0.945	0.65	0	"3"	"GLB1,r1@TMPPE"	"P"
"P:r1@VDAC2"	0	0.683190821398531	0.998	0.981	0	"4"	"VDAC2"	"P"
"P:r1@HERPUD1"	0	0.685061111438401	0.944	0.665	0	"1"	"HERPUD1"	"P"
"P:r1@MT-ND5,r1@MT-TS2,r1@MT-TL2"	0	0.685099074173324	0.986	0.896	0	"4"	"MT-ND5,r1@MT-TS2,r1@MT-TL2"	"P"
"P:r1@MFGE8"	0	0.686982837820174	0.984	0.951	0	"0"	"MFGE8"	"P"
"P:r1@ZNF428"	0	0.687409599836809	0.936	0.792	0	"1"	"ZNF428"	"P"
"P:r1@MRPS24"	0	0.6877418454196	0.983	0.928	0	"1"	"MRPS24"	"P"
"P:r1@FKBP7"	0	0.688439617299046	0.976	0.761	0	"3"	"FKBP7"	"P"
"P:r1@ADSL,r1@AL022238.4"	0	0.688909931930012	0.837	0.657	0	"1"	"ADSL,r1@AL022238.4"	"P"
"P:r1@TSPO"	0	0.689249879362694	0.996	0.982	0	"1"	"TSPO"	"P"
"P:r1@RPS26P6"	0	0.692403897899373	0.984	0.921	0	"1"	"RPS26P6"	"P"
"P:r1@SPOCK1"	0	0.692780385462932	0.939	0.679	0	"3"	"SPOCK1"	"P"
"P:r1@MT-ND3,r1@MT-ND4,r1@MT-TG,r1@MT-TR,r1@MT-ND4L"	0	0.693351176485724	0.997	0.984	0	"4"	"MT-ND3,r1@MT-ND4,r1@MT-TG,r1@MT-TR,r1@MT-ND4L"	"P"
"P:r1@THRSP"	0	0.693703094111455	0.501	0.179	0	"2"	"THRSP"	"P"
"P:r1@EPN1"	0	0.693801641104763	0.926	0.781	0	"1"	"EPN1"	"P"
"P:r1@RPL13P12"	0	0.694727936480328	1	0.996	0	"3"	"RPL13P12"	"P"
"P:r1@ERGIC1"	0	0.694822955413456	0.94	0.662	0	"3"	"ERGIC1"	"P"
"P:r1@G0S2"	0	0.694946553110355	0.98	0.711	0	"2"	"G0S2"	"P"
"P:r1@TMED3"	0	0.695544951023663	0.948	0.844	0	"1"	"TMED3"	"P"
"P:r1@RPN2"	0	0.698494093429875	0.998	0.93	0	"3"	"RPN2"	"P"
"P:r1@HADHB"	0	0.698910525132405	0.945	0.842	0	"4"	"HADHB"	"P"
"P:r1@P4HA1"	0	0.699072915406342	0.992	0.856	0	"3"	"P4HA1"	"P"
"P:r1@PIK3R1"	0	0.700166525245128	0.904	0.771	0	"0"	"PIK3R1"	"P"
"P:r1@NDUFS6"	0	0.701495298137244	0.983	0.915	0	"4"	"NDUFS6"	"P"
"P:r1@IFITM3"	0	0.702289047532433	1	0.996	0	"1"	"IFITM3"	"P"
"P:r1@CAST"	0	0.70244033354717	0.952	0.824	0	"1"	"CAST"	"P"
"P:r1@HAX1"	0	0.70291539003766	0.912	0.751	0	"1"	"HAX1"	"P"
"P:r1@BTG1"	0	0.703331581460179	0.998	0.963	0	"5"	"BTG1"	"P"
"P:r1@HLA-C"	0	0.703662063961781	0.995	0.933	0	"1"	"HLA-C"	"P"
"P:r1@NDUFA12"	0	0.70372960135538	0.979	0.919	0	"4"	"NDUFA12"	"P"
"P:r1@MGST1"	0	0.705034534685645	1	0.997	0	"2"	"MGST1"	"P"
"P:r1@ADDG0X038220623.B,r1@ADDG0X038221670.R,r1@SRPX"	0	0.706496854823188	1	0.992	0	"2"	"ADDG0X038220623.B,r1@ADDG0X038221670.R,r1@SRPX"	"P"
"P:r1@RBPMS"	0	0.708172431292833	0.992	0.937	0	"2"	"RBPMS"	"P"
"P:r1@TPT1"	0	0.709978479013201	1	1	0	"6"	"TPT1"	"P"
"P:r1@PSMF1"	0	0.710020279717573	0.893	0.74	0	"1"	"PSMF1"	"P"
"P:r1@JUN"	0	0.710384130766025	0.961	0.903	0	"0"	"JUN"	"P"
"P:r1@BRI3"	0	0.711254258793578	0.983	0.931	0	"1"	"BRI3"	"P"
"P:r1@CAV1"	0	0.711713357111021	0.999	0.975	0	"2"	"CAV1"	"P"
"P:r1@PPIB"	0	0.71377961496363	1	1	0	"1"	"PPIB"	"P"
"P:r1@HADH"	0	0.715236427287298	0.896	0.66	0	"2"	"HADH"	"P"
"P:r1@SCD"	0	0.716680014191821	0.996	0.761	0	"2"	"SCD"	"P"
"P:r1@CKS1B,r1@MIR4258"	0	0.717467143378574	0.779	0.565	0	"2"	"CKS1B,r1@MIR4258"	"P"
"P:r1@MORF4L1"	0	0.717530417538001	0.993	0.966	0	"1"	"MORF4L1"	"P"
"P:r1@TBCB,r1@AD001527.2"	0	0.717547823789034	0.943	0.829	0	"1"	"TBCB,r1@AD001527.2"	"P"
"P:r1@C11orf24"	0	0.718476731886057	0.833	0.676	0	"1"	"C11orf24"	"P"
"P:r1@PKDCC"	0	0.718890640794041	0.981	0.753	0	"3"	"PKDCC"	"P"
"P:r1@DDT"	0	0.719361445188242	0.951	0.815	0	"4"	"DDT"	"P"
"P:r1@PPP4C"	0	0.719764667971615	0.957	0.845	0	"1"	"PPP4C"	"P"
"P:r1@EIF2S3"	0	0.719801122987872	0.967	0.866	0	"1"	"EIF2S3"	"P"
"P:r1@NARS"	0	0.720763252520438	0.815	0.632	0	"1"	"NARS"	"P"
"P:r1@PCYT2"	0	0.721896156854146	0.812	0.617	0	"2"	"PCYT2"	"P"
"P:r1@SMARCE1"	0	0.722096123003954	0.858	0.669	0	"1"	"SMARCE1"	"P"
"P:r1@DUSP1"	0	0.723641356702167	0.994	0.924	0	"3"	"DUSP1"	"P"
"P:r1@ECH1"	0	0.724010190147579	0.992	0.942	0	"4"	"ECH1"	"P"
"P:r1@MKNK2"	0	0.724535734898317	0.97	0.837	0	"2"	"MKNK2"	"P"
