Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
RORB	1.0	-2.1765863614744236	0.3290252353127499	green	0.3290252353127499
AC015712.2	1.0	3.056575746193125	-0.3285309262471279	green	0.3285309262471279
ARHGEF19	1.0	0.5785341631268054	-0.3273573586119861	green	0.3273573586119861
ITM2A	1.0	0.42373700803967307	-0.32667275900939835	green	0.32667275900939835
ATOH8	1.0	1.9236183671309943	-0.3255141545656048	green	0.3255141545656048
EZR	1.0	3.7618184262342425	-0.3251441246291217	green	0.3251441246291217
ITPR1	1.0	1.2395349333545607	-0.32439245221487795	green	0.32439245221487795
RFC3	1.0	0.6679657271085674	-0.324184383194066	green	0.324184383194066
GPT	1.0	-0.8110360275748026	-0.32354464174463843	green	0.32354464174463843
LAMC2	1.0	1.4083017565569833	-0.323413089417731	green	0.323413089417731
AC022966.1	1.0	1.917842982611178	-0.3233408773830504	green	0.3233408773830504
KLF15	1.0	6.612504927163937	-0.3224281874755687	green	0.3224281874755687
MYOC	1.0	-2.4667294667603317	0.32192809488736235	green	0.32192809488736235
GABBR2	1.0	-2.453007855841146	0.32192809488736235	green	0.32192809488736235
MFSD6	1.0	0.034194465791449725	-0.3198530928238405	green	0.3198530928238405
SLC1A3	1.0	1.5942580600221639	-0.3190903324800614	green	0.3190903324800614
APLN	1.0	0.97732578684494	-0.31854130435470457	green	0.31854130435470457
DLG5	1.0	1.2525220001871729	-0.31827031454460625	green	0.31827031454460625
CHRDL1	1.0	3.9997021731881692	0.3168009844140279	green	0.3168009844140279
SEMA3G	1.0	-0.4005528305905617	-0.31672966505039324	green	0.31672966505039324
SLC6A12	1.0	-2.2528567919550015	-0.3152309715977608	green	0.3152309715977608
TOP2A	1.0	0.06747197450431897	-0.31514518039768463	green	0.31514518039768463
SPRY4	1.0	1.2561451914360797	-0.31483750770998364	green	0.31483750770998364
FPR2	1.0	-2.2897981055007945	0.31480136413557064	green	0.31480136413557064
FOXO1	1.0	4.0584624340508295	-0.31453962124862433	green	0.31453962124862433
SPC25	1.0	-1.9765419108093136	-0.31410757022580954	green	0.31410757022580954
TTC39B	1.0	2.4607101755260925	-0.31329832147895775	green	0.31329832147895775
CERS6	1.0	4.572549458011397	-0.31240552636992014	green	0.31240552636992014
AFF1	1.0	2.1951127762842106	-0.31225520443936666	green	0.31225520443936666
N4BP2	1.0	2.7608425483580405	-0.31196968771762057	green	0.31196968771762057
EYA2	1.0	2.7172655868580216	-0.3119565432347653	green	0.3119565432347653
CHST2	1.0	1.947623389611376	-0.31108877997512596	green	0.31108877997512596
VWCE	1.0	0.4867105916843212	-0.3099269594336639	green	0.3099269594336639
IFIT1	1.0	2.5432632401051265	-0.3071514547036124	green	0.3071514547036124
FBXO5	1.0	1.2168481015775008	-0.30648238523887705	green	0.30648238523887705
ADAMTSL4	1.0	1.1268019724694631	-0.3064648556170737	green	0.3064648556170737
ABLIM3	1.0	1.9806171479215438	-0.30596785115773656	green	0.30596785115773656
PCSK9	1.0	1.3096168455685842	-0.305917275331973	green	0.305917275331973
DDIT4-AS1	1.0	2.3417597376256967	-0.30541279611353156	green	0.30541279611353156
PPP1R16A	1.0	2.053235353131545	-0.30433322291081144	green	0.30433322291081144
NGFR	1.0	-1.0970761221278245	0.3037293698116539	green	0.3037293698116539
PLPPR4	1.0	-0.5416087738943266	-0.3034492243392083	green	0.3034492243392083
SCIN	1.0	-2.294058022550793	-0.3033248579063163	green	0.3033248579063163
