Geneid	gene_name	description	gene_biotype	logFC.s1	P.Value.s1	adj.P.Val.s1	AveExpr.s1	logFC.s2	P.Value.s2	adj.P.Val.s2	AveExpr.s2	logFC.s3	P.Value.s3	adj.P.Val.s3	AveExpr.s3	logFC.s4	P.Value.s4	adj.P.Val.s4	AveExpr.s4	logFC.s5	P.Value.s5	adj.P.Val.s5	AveExpr.s5	logFC.s6	P.Value.s6	adj.P.Val.s6	AveExpr.s6
ENSG00000162722	TRIM58	tripartite motif containing 58 	protein_coding	0.121090949884453	0.669763681463551	0.769063630930968	-0.140103077771534	-1.66423097616647	5.2603383902757e-06	8.84608674737145e-05	-0.140103077771534	-0.403343247827711	0.171330365647484	0.638151729007881	-0.140103077771534	0.567827211035917	0.0557703238956694	0.3369915757376	-0.140103077771534	1.04854612254023	0.000870166338906112	0.0240306945672527	-0.140103077771534	0.330109940533583	0.272279781237854	0.461058046965767	-0.140103077771534
ENSG00000162729	IGSF8	immunoglobulin superfamily member 8 	protein_coding	-0.34846741046946	0.270625387860324	0.403181154016771	3.68391837216487	-0.967651124728232	0.00602133555549244	0.0248554849710011	3.68391837216487	0.147090628327999	0.644620581610485	0.921156129794047	3.68391837216487	0.552984853848809	0.0880218828960565	0.441233202049868	3.68391837216487	0.29844896690651	0.346301283841893	0.751206760445402	3.68391837216487	0.317594086114373	0.333323320781174	0.526651430026137	3.68391837216487
ENSG00000162733	DDR2	discoidin domain receptor tyrosine kinase 2 	protein_coding	0.581655717699784	0.00152861233281652	0.00699564179063426	9.00804058025962	-0.282711642055935	0.0909140499114029	0.183361100552747	9.00804058025962	0.123276338709918	0.459711945674662	0.86349540196753	9.00804058025962	0.152363141658808	0.364050877989659	0.814270268966601	9.00804058025962	-0.0272749446880279	0.870474314365308	0.963721806432869	9.00804058025962	-0.547308611324549	0.00216058002041567	0.0153154929824962	9.00804058025962
ENSG00000162734	PEA15	proliferation and apoptosis adaptor protein 15 	protein_coding	-0.0543232547134469	0.698058871739436	0.79015049401391	8.95331425951839	0.152003993596092	0.268777715951441	0.407008831038733	8.95331425951839	-0.0517800707375739	0.708633559850629	0.935082717993206	8.95331425951839	-0.340000468066557	0.0197442390417219	0.177386040970732	8.95331425951839	0.259428098800223	0.0707150449771108	0.392858944119225	8.95331425951839	0.0346717011212601	0.79996402261039	0.887969406451125	8.95331425951839
ENSG00000162735	PEX19	peroxisomal biogenesis factor 19 	protein_coding	-1.06971917641923	1.06472556168912e-09	9.66332078877749e-08	7.26407344057921	0.467861599703088	0.000451595521418196	0.00332683289808437	7.26407344057921	-0.0113378724671385	0.925536834966814	0.987798253748479	7.26407344057921	0.0566004075863835	0.642756938531864	0.931987240432242	7.26407344057921	-0.0805405221033742	0.511502276374776	0.840680918518958	7.26407344057921	0.637135563700269	9.35486403839474e-06	0.000258345870638299	7.26407344057921
ENSG00000162736	NCSTN	nicastrin 	protein_coding	-0.0731947565590684	0.47201320001076	0.603584707263831	7.1602339331008	0.171752448231321	0.0906431545263691	0.182957757476615	7.1602339331008	0.0562972372242084	0.576013540240535	0.900901384296217	7.1602339331008	-0.0925754379476179	0.361667232876777	0.812192018284043	7.1602339331008	0.0191513783837768	0.849789347029168	0.960244908891395	7.1602339331008	-0.0814308693326229	0.415546610697222	0.605843343219448	7.1602339331008
ENSG00000162745	OLFML2B	olfactomedin like 2B 	protein_coding	0.636479387689742	0.00791533501330424	0.0261925367671836	4.29074442995376	-1.43929519466321	1.00830553184545e-06	2.21007356925494e-05	4.29074442995376	0.631982051917317	0.00916624676844726	0.126665327379438	4.29074442995376	0.526662993447965	0.0262315972772587	0.213121402800077	4.29074442995376	0.600051617179503	0.0120530841422514	0.140355095224502	4.29074442995376	-0.955880855571319	0.000274798057931016	0.00335800251981873	4.29074442995376
ENSG00000162746	FCRLB	Fc receptor like B 	protein_coding	-0.392414879709218	0.0338293091120533	0.0817488830442594	2.81551376774044	-1.17501789886506	7.12554129583692e-07	1.662718363619e-05	2.81551376774044	-0.181413571305544	0.321274057721988	0.787210793178242	2.81551376774044	0.439933651088177	0.0197146379825182	0.177361577545024	2.81551376774044	0.479287304733664	0.0112671704058139	0.134855112458188	2.81551376774044	0.82962539405798	0.00010084562713023	0.00155968150941387	2.81551376774044
ENSG00000162757	C1orf74	chromosome 1 open reading frame 74 	protein_coding	-0.37600938227218	0.00519513398751684	0.0187321451284771	1.72424491811119	0.24656482616613	0.073841128573318	0.157529485372395	1.72424491811119	0.171183760807038	0.190234596400546	0.660101257558167	1.72424491811119	-0.116394889621107	0.36470123397341	0.814534150600916	1.72424491811119	-0.145538899421688	0.25419869325828	0.678173416644363	1.72424491811119	0.220194584341806	0.103659860260738	0.244508389208461	1.72424491811119
ENSG00000162769	FLVCR1	feline leukemia virus subgroup C cellular receptor 1 	protein_coding	-0.199515110074178	0.213341738426786	0.338829153862661	3.73866656733059	-0.158083783117445	0.335448793077105	0.475142392891976	3.73866656733059	-0.349624862516062	0.0349660650584887	0.289290930380836	3.73866656733059	0.392616583544959	0.0185519468940662	0.169826007528499	3.73866656733059	-1.20456509592434	1.8956891034325e-08	5.6127935896876e-06	3.73866656733059	1.51917226808706	2.19718551913871e-10	7.93667353223286e-08	3.73866656733059
