"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@LSG1"	1.01883929048818e-15	0.578576826162142	0.437	0.247	7.65321509836005e-11	"6"	"LSG1"	"P"
"P:r1@TP53I11"	1.02028909313697e-15	0.671911268451236	0.444	0.257	7.66410558091697e-11	"6"	"TP53I11"	"P"
"P:r1@LINC01128"	1.11985371208561e-15	0.637743639456243	0.309	0.15	8.41200512907348e-11	"6"	"LINC01128"	"P"
"P:r1@CDC42SE1"	1.13650647209722e-15	0.509314717339919	0.596	0.37	8.53709566645272e-11	"6"	"CDC42SE1"	"P"
"P:r1@PKM"	1.14071413765561e-15	1.38399574764727	0.936	0.939	8.56870238782768e-11	"8"	"PKM"	"P"
"P:r1@RELCH"	1.14641040553738e-15	0.746404674667573	0.333	0.173	8.61149104327517e-11	"6"	"RELCH"	"P"
"D:r1@ADDG06024720744.B"	1.21060459342779e-15	0.728220934676373	0.28	0.135	9.09369852445153e-11	"6"	"ADDG06024720744.B"	"D"
"P:r1@ADDG0X046837477.B,r1@RP2"	1.23750601124217e-15	0.692497394171761	0.292	0.142	9.29577390464781e-11	"6"	"ADDG0X046837477.B,r1@RP2"	"P"
"P:r1@PTTG1IP"	1.27203204115024e-15	0.805501204875249	0.974	0.908	9.55512308350829e-11	"9"	"PTTG1IP"	"P"
"P:r1@CARNMT1"	1.32110972607156e-15	0.621499109738637	0.451	0.256	9.92377992933175e-11	"6"	"CARNMT1"	"P"
"P:r1@EP300,r1@MIR1281"	1.32238221375105e-15	0.71993120600898	0.287	0.14	9.93333847503378e-11	"6"	"EP300,r1@MIR1281"	"P"
"P:r1@EHBP1L1"	1.35087702079226e-15	2.12704517614991	0.442	0.139	1.01473829170852e-10	"9"	"EHBP1L1"	"P"
"P:r1@WARS2"	1.36343326287689e-15	0.708191246168159	0.337	0.173	1.02417016407523e-10	"6"	"WARS2"	"P"
"P:r1@BBS4"	1.42560318006952e-15	0.680823436182224	0.335	0.173	1.07087034077282e-10	"6"	"BBS4"	"P"
"P:r1@TATDN1"	1.48927474364541e-15	0.516628156269308	0.416	0.375	1.11869850918412e-10	"4"	"TATDN1"	"P"
"P:r1@IFT122"	1.52842827501439e-15	0.505806179746313	0.399	0.211	1.14810946734256e-10	"6"	"IFT122"	"P"
"P:r1@AL358334.3"	1.55429668303166e-15	0.625928062579987	0.361	0.187	1.16754103939289e-10	"6"	"AL358334.3"	"P"
"P:r1@DHCR7"	1.74630085994215e-15	0.743405610490686	0.506	0.473	1.31176881696274e-10	"5"	"DHCR7"	"P"
"P:r1@RPAP3"	1.78040334653753e-15	0.532993307550595	0.482	0.278	1.33738558181859e-10	"6"	"RPAP3"	"P"
"P:r1@ADDG17063589235.R"	1.78818450478451e-15	0.740855608990002	0.273	0.132	1.34323055445898e-10	"6"	"ADDG17063589235.R"	"P"
"P:r1@BRAT1"	1.8244201003168e-15	0.554445034467653	0.615	0.387	1.37044964675497e-10	"6"	"BRAT1"	"P"
